2012-01-09 17:05:29 - WARN  --> a : user_ping, uid : d316801b-60d9-0466-61a1-1b59f5869422, auth : default, lat : 40.79721, long : -77.86149, rho : 1, scores : ["0bca190e-7977-00ae-d36f-b0b6053b5327", "c7e6433f-d70e-7fca-67f4-5640b662ab07"],  
2012-01-09 17:07:55 - WARN  --> {"code":"shouts","scores":[{"shout_id":"fac3bcd0-a49d-e416-ccaf-0bcbc352d65c","ups":1,"downs":0,"hit":1,"pts":1,"open":1}]} 
2012-01-09 17:10:16 - WARN  --> a : user_ping, uid : d316801b-60d9-0466-61a1-1b59f5869422, auth : a2b1ICQyBhU@KPxz4k!&rL0VT+WSQmN-75a343824c75f034cfc11a8bd86314fe603f57725a5ff4dcfd1656f3d0302e3968661b6dac7b132ab5551d48c47acf2ecdee9ec0906e6c6b8ef74bd2c9d0a808, lat : 40.79184, long : -77.85899, scores : ["fac3bcd0-a49d-e416-ccaf-0bcbc352d65c"],  
2012-01-09 17:10:16 - WARN  --> {"code":"shouts","scores":[{"shout_id":"fac3bcd0-a49d-e416-ccaf-0bcbc352d65c","ups":1,"downs":0,"hit":1,"pts":1,"open":1}]} 
2012-01-09 17:12:46 - WARN  --> a : user_ping, uid : d316801b-60d9-0466-61a1-1b59f5869422, auth : a2b1ICQyBhU@KPxz4k!&rL0VT+WSQmN-75a343824c75f034cfc11a8bd86314fe603f57725a5ff4dcfd1656f3d0302e3968661b6dac7b132ab5551d48c47acf2ecdee9ec0906e6c6b8ef74bd2c9d0a808, lat : 40.79118, long : -77.85783, rho : 1, scores : ["fac3bcd0-a49d-e416-ccaf-0bcbc352d65c"],  
2012-01-09 17:12:46 - WARN  --> {"code":"shouts","scores":[{"shout_id":"fac3bcd0-a49d-e416-ccaf-0bcbc352d65c","ups":1,"downs":0,"hit":1,"pts":1,"open":1}],"rho":1.0e-5} 
2012-01-09 17:14:34 - WARN  --> a : user_ping, uid : d316801b-60d9-0466-61a1-1b59f5869422, auth : a2b1ICQyBhU@KPxz4k!&rL0VT+WSQmN-75a343824c75f034cfc11a8bd86314fe603f57725a5ff4dcfd1656f3d0302e3968661b6dac7b132ab5551d48c47acf2ecdee9ec0906e6c6b8ef74bd2c9d0a808, lat : 40.7925, long : -77.86016, scores : ["fac3bcd0-a49d-e416-ccaf-0bcbc352d65c"],  
2012-01-09 17:14:34 - WARN  --> {"code":"shouts","scores":[{"shout_id":"fac3bcd0-a49d-e416-ccaf-0bcbc352d65c","ups":1,"downs":0,"hit":1,"pts":1,"open":1}]} 
2012-01-09 17:16:10 - WARN  --> a : user_ping, uid : d316801b-60d9-0466-61a1-1b59f5869422, auth : a2b1ICQyBhU@KPxz4k!&rL0VT+WSQmN-75a343824c75f034cfc11a8bd86314fe603f57725a5ff4dcfd1656f3d0302e3968661b6dac7b132ab5551d48c47acf2ecdee9ec0906e6c6b8ef74bd2c9d0a808, lat : 40.7925, long : -77.86016, scores : ["fac3bcd0-a49d-e416-ccaf-0bcbc352d65c"],  
2012-01-09 17:16:10 - WARN  --> {"code":"shouts","scores":[{"shout_id":"fac3bcd0-a49d-e416-ccaf-0bcbc352d65c","ups":1,"downs":0,"hit":1,"pts":1,"open":1}]} 
2012-01-09 17:17:56 - WARN  --> a : user_ping, uid : d316801b-60d9-0466-61a1-1b59f5869422, auth : a2b1ICQyBhU@KPxz4k!&rL0VT+WSQmN-75a343824c75f034cfc11a8bd86314fe603f57725a5ff4dcfd1656f3d0302e3968661b6dac7b132ab5551d48c47acf2ecdee9ec0906e6c6b8ef74bd2c9d0a808, lat : 40.79118, long : -77.85783, scores : ["fac3bcd0-a49d-e416-ccaf-0bcbc352d65c"],  
2012-01-09 17:17:56 - WARN  --> {"code":"shouts","scores":[{"shout_id":"fac3bcd0-a49d-e416-ccaf-0bcbc352d65c","ups":1,"downs":0,"hit":1,"pts":1,"open":1}]} 
2012-01-09 17:20:27 - WARN  --> a : user_ping, uid : d316801b-60d9-0466-61a1-1b59f5869422, auth : a2b1ICQyBhU@KPxz4k!&rL0VT+WSQmN-75a343824c75f034cfc11a8bd86314fe603f57725a5ff4dcfd1656f3d0302e3968661b6dac7b132ab5551d48c47acf2ecdee9ec0906e6c6b8ef74bd2c9d0a808, lat : 40.79118, long : -77.85783, scores : ["fac3bcd0-a49d-e416-ccaf-0bcbc352d65c"],  
2012-01-09 17:20:27 - WARN  --> {"code":"shouts","scores":[{"shout_id":"fac3bcd0-a49d-e416-ccaf-0bcbc352d65c","ups":1,"downs":0,"hit":1,"pts":1,"open":0}]} 
2012-01-09 17:22:55 - WARN  --> a : user_ping, uid : d316801b-60d9-0466-61a1-1b59f5869422, auth : a2b1ICQyBhU@KPxz4k!&rL0VT+WSQmN-75a343824c75f034cfc11a8bd86314fe603f57725a5ff4dcfd1656f3d0302e3968661b6dac7b132ab5551d48c47acf2ecdee9ec0906e6c6b8ef74bd2c9d0a808, lat : 40.79197, long : -77.84666, rho : 1,  
2012-01-09 17:22:56 - WARN  --> {"code":"shouts","rho":1.0e-5} 
2012-01-09 17:25:26 - WARN  --> a : user_ping, uid : d316801b-60d9-0466-61a1-1b59f5869422, auth : a2b1ICQyBhU@KPxz4k!&rL0VT+WSQmN-75a343824c75f034cfc11a8bd86314fe603f57725a5ff4dcfd1656f3d0302e3968661b6dac7b132ab5551d48c47acf2ecdee9ec0906e6c6b8ef74bd2c9d0a808, lat : 40.79197, long : -77.84666,  
2012-01-09 17:25:26 - WARN  --> {"code":"ping_ok"} 
2012-01-09 17:51:45 - WARN  --> a : user_ping, uid : d316801b-60d9-0466-61a1-1b59f5869422, auth : a2b1ICQyBhU@KPxz4k!&rL0VT+WSQmN-75a343824c75f034cfc11a8bd86314fe603f57725a5ff4dcfd1656f3d0302e3968661b6dac7b132ab5551d48c47acf2ecdee9ec0906e6c6b8ef74bd2c9d0a808, lat : 40.79158, long : -77.85225, rho : 1,  
2012-01-09 17:51:46 - WARN  --> {"code":"shouts","rho":1.0e-5} 
2012-01-09 17:54:23 - WARN  --> a : user_ping, uid : d316801b-60d9-0466-61a1-1b59f5869422, auth : a2b1ICQyBhU@KPxz4k!&rL0VT+WSQmN-75a343824c75f034cfc11a8bd86314fe603f57725a5ff4dcfd1656f3d0302e3968661b6dac7b132ab5551d48c47acf2ecdee9ec0906e6c6b8ef74bd2c9d0a808, lat : 40.79118, long : -77.85783,  
2012-01-09 17:54:24 - WARN  --> {"code":"ping_ok"} 
2012-01-09 18:19:40 - WARN  --> a : user_ping, uid : d316801b-60d9-0466-61a1-1b59f5869422, auth : a2b1ICQyBhU@KPxz4k!&rL0VT+WSQmN-75a343824c75f034cfc11a8bd86314fe603f57725a5ff4dcfd1656f3d0302e3968661b6dac7b132ab5551d48c47acf2ecdee9ec0906e6c6b8ef74bd2c9d0a808, lat : 40.79158, long : -77.85225,  
2012-01-09 18:19:40 - WARN  --> {"code":"ping_ok"} 
2012-01-09 18:29:10 - WARN  --> a : user_ping, uid : d316801b-60d9-0466-61a1-1b59f5869422, auth : a2b1ICQyBhU@KPxz4k!&rL0VT+WSQmN-75a343824c75f034cfc11a8bd86314fe603f57725a5ff4dcfd1656f3d0302e3968661b6dac7b132ab5551d48c47acf2ecdee9ec0906e6c6b8ef74bd2c9d0a808, lat : 40.79158, long : -77.85225,  
2012-01-09 18:29:10 - WARN  --> a : user_ping, uid : d316801b-60d9-0466-61a1-1b59f5869422, auth : a2b1ICQyBhU@KPxz4k!&rL0VT+WSQmN-75a343824c75f034cfc11a8bd86314fe603f57725a5ff4dcfd1656f3d0302e3968661b6dac7b132ab5551d48c47acf2ecdee9ec0906e6c6b8ef74bd2c9d0a808, lat : 40.79158, long : -77.85225,  
2012-01-09 18:29:10 - WARN  --> {"code":"ping_ok"} 
2012-01-09 18:29:10 - WARN  --> {"code":"ping_ok"} 
2012-01-09 20:07:44 - WARN  --> a : user_ping, uid : d316801b-60d9-0466-61a1-1b59f5869422, auth : a2b1ICQyBhU@KPxz4k!&rL0VT+WSQmN-75a343824c75f034cfc11a8bd86314fe603f57725a5ff4dcfd1656f3d0302e3968661b6dac7b132ab5551d48c47acf2ecdee9ec0906e6c6b8ef74bd2c9d0a808, lat : 40.79118, long : -77.85783,  
2012-01-09 20:07:44 - WARN  --> {"code":"ping_ok"} 
2012-01-09 20:21:41 - WARN  --> a : user_ping, uid : d316801b-60d9-0466-61a1-1b59f5869422, auth : a2b1ICQyBhU@KPxz4k!&rL0VT+WSQmN-75a343824c75f034cfc11a8bd86314fe603f57725a5ff4dcfd1656f3d0302e3968661b6dac7b132ab5551d48c47acf2ecdee9ec0906e6c6b8ef74bd2c9d0a808, lat : 40.79118, long : -77.85783,  
2012-01-09 20:21:41 - WARN  --> {"code":"ping_ok"} 
2012-01-09 20:30:57 - WARN  --> a : user_ping, uid : d316801b-60d9-0466-61a1-1b59f5869422, auth : a2b1ICQyBhU@KPxz4k!&rL0VT+WSQmN-75a343824c75f034cfc11a8bd86314fe603f57725a5ff4dcfd1656f3d0302e3968661b6dac7b132ab5551d48c47acf2ecdee9ec0906e6c6b8ef74bd2c9d0a808, lat : 40.79922, long : -77.85854, rho : 1,  
2012-01-09 20:30:57 - WARN  --> {"code":"shouts","rho":1.0e-5} 
2012-01-09 20:31:19 - WARN  --> a : user_ping, uid : d316801b-60d9-0466-61a1-1b59f5869422, auth : a2b1ICQyBhU@KPxz4k!&rL0VT+WSQmN-75a343824c75f034cfc11a8bd86314fe603f57725a5ff4dcfd1656f3d0302e3968661b6dac7b132ab5551d48c47acf2ecdee9ec0906e6c6b8ef74bd2c9d0a808, lat : 40.79922, long : -77.85854,  
2012-01-09 20:31:19 - WARN  --> {"code":"ping_ok"} 
2012-01-09 20:34:04 - WARN  --> a : user_ping, uid : d316801b-60d9-0466-61a1-1b59f5869422, auth : a2b1ICQyBhU@KPxz4k!&rL0VT+WSQmN-75a343824c75f034cfc11a8bd86314fe603f57725a5ff4dcfd1656f3d0302e3968661b6dac7b132ab5551d48c47acf2ecdee9ec0906e6c6b8ef74bd2c9d0a808, lat : 40.79953, long : -77.85654, rho : 1,  
2012-01-09 20:34:05 - WARN  --> {"code":"shouts","rho":1.0e-5} 
2012-01-09 20:34:41 - WARN  --> a : user_ping, uid : d316801b-60d9-0466-61a1-1b59f5869422, auth : a2b1ICQyBhU@KPxz4k!&rL0VT+WSQmN-75a343824c75f034cfc11a8bd86314fe603f57725a5ff4dcfd1656f3d0302e3968661b6dac7b132ab5551d48c47acf2ecdee9ec0906e6c6b8ef74bd2c9d0a808, lat : 40.79953, long : -77.85654,  
2012-01-09 20:34:41 - WARN  --> {"code":"ping_ok"} 
2012-01-09 20:37:15 - WARN  --> a : user_ping, uid : d316801b-60d9-0466-61a1-1b59f5869422, auth : a2b1ICQyBhU@KPxz4k!&rL0VT+WSQmN-75a343824c75f034cfc11a8bd86314fe603f57725a5ff4dcfd1656f3d0302e3968661b6dac7b132ab5551d48c47acf2ecdee9ec0906e6c6b8ef74bd2c9d0a808, lat : 40.79953, long : -77.85654,  
2012-01-09 20:37:15 - WARN  --> {"code":"ping_ok"} 
2012-01-09 20:57:43 - WARN  --> a : user_ping, uid : d316801b-60d9-0466-61a1-1b59f5869422, auth : a2b1ICQyBhU@KPxz4k!&rL0VT+WSQmN-75a343824c75f034cfc11a8bd86314fe603f57725a5ff4dcfd1656f3d0302e3968661b6dac7b132ab5551d48c47acf2ecdee9ec0906e6c6b8ef74bd2c9d0a808, lat : 40.79691, long : -77.86041, rho : 1,  
2012-01-09 20:57:43 - WARN  --> {"code":"shouts","rho":1.0e-5} 
2012-01-09 20:59:29 - WARN  --> a : user_ping, uid : d316801b-60d9-0466-61a1-1b59f5869422, auth : a2b1ICQyBhU@KPxz4k!&rL0VT+WSQmN-75a343824c75f034cfc11a8bd86314fe603f57725a5ff4dcfd1656f3d0302e3968661b6dac7b132ab5551d48c47acf2ecdee9ec0906e6c6b8ef74bd2c9d0a808, lat : 40.79691, long : -77.86041,  
2012-01-09 20:59:29 - WARN  --> {"code":"ping_ok"} 
2012-01-09 21:13:57 - WARN  --> a : user_ping, uid : d316801b-60d9-0466-61a1-1b59f5869422, auth : a2b1ICQyBhU@KPxz4k!&rL0VT+WSQmN-75a343824c75f034cfc11a8bd86314fe603f57725a5ff4dcfd1656f3d0302e3968661b6dac7b132ab5551d48c47acf2ecdee9ec0906e6c6b8ef74bd2c9d0a808, lat : 40.79953, long : -77.85654,  
2012-01-09 21:13:58 - WARN  --> {"code":"ping_ok"} 
